lon,lat,Vetted_address,PWSID
-120.5243563,38.4664148,19021 Circle View Dr. Pinoeer CA 95666,CA0310015
-120.9189396,38.2956688,5545 THREE OAKS DRIVE IONE CA 95640,CA0310020
-121.8024984,39.6469927,9420 Putney Dr. Durham CCA 95938,CA0400066
-121.6916884,39.778231,4541 Wilder Drive CHICO CA 95928,CA0400091
-122.0149495,39.1905156,316 Walnut Tree Dr. Colusa CA 95932,CA0600011
-121.7401173,37.9601728,6061 Lone Tree Way Brentwood CA 94513,CA0706108
-121.6900834,37.931503,50 Birch St. Brentwood 94513,CA0707557
-121.9400552,38.0288432,83 Solano Ave. Pittsburg CA 94565,CA0707558
-121.6388494,38.0460163,3049 W Willow Rd. Bethel Island CA 94511,CA0707602
-123.990691,41.5191284,"4100 CA-169, Klamath CA 95548",CA0800613
-120.9328381,38.6659207,3800 NORTH SHINGLE RD SHINGLE SPRINGS CA 95682,CA0900108
-120.942073,38.8263433,6280 CA-49 Lotus CA 95651,CA0900211
-119.982951,38.9281623,2659 Lake Tahoe Blvd. South Lake Tahoe CA 96150,CA0900539
-119.9462955,38.9565948,947 Park Ave. South Lake Tahoe CA 96150,CA0900548
-119.9985091,38.9176891,2187 LAKE TAHOE BLVD SOUTH LAKE TAHOE CA 96150,CA0900555
-119.9490061,38.9520364,3876 Lake Tahoe Blvd. South Lake Tahoe CA 96150,CA0900579
-119.9481026,38.9524397,3901 PIONEER TRAIL SOUTH LAKE TAHOE CA 96150,CA0900581
-119.9629645,38.9460944,3520 LAKE TAHOE BLVD SOUTH LAKE TAHOE CA 96150,CA0900586
-119.9947609,38.9217982,2333 Eloise Ave. South Lake Tahoe CA 96150,CA0900636
-119.9770796,38.9346553,1021 AL TAHOE BLVD SO LAKE TAHOE CA 96150,CA0900646
-120.0115663,38.91842,783 Emerald Bay Rd. South Lake Tahoe CA 96150,CA0900655
-119.9609996,38.9438018,1096 Herbert Ave. South Lake Tahoe 96150,CA0900666
-119.9474475,38.95096849999999,3870 PIONEER TRAIL SOUTH LAKE TAHOE CA 96150,CA0900673
-120.8026803,38.7286898,3101 Center Street PLACERVILLE CA 95667,CA0910010
-119.5666582,36.7803705,3095 N GREENWOOD AVE SANGER CA 93657,CA1000112
-119.9878512,36.764918,10950 W MCKINLEY FRESNO CA 93722,CA1000207
-119.9963302,36.7136471,11470 W CHURCH AVE FRESNO CA 93706,CA1000248
-119.7808967,36.6826057,3530 S CHERRY FRESNO CA 93706,CA1000276
-119.7889701,36.6491882,130 E LINCOLN FRESNO CA 93706,CA1000285
-119.743916,36.9062387,2140 E. Clubhouse Drive FRESNO CA 93730,CA1000496
-119.7612427,36.6981991,2797 S ORANGE FRESNO CA 93725,CA1000512
-119.6627278,36.7507075,7064 E. Belmont FRESNO CA 93727,CA1000624
-119.8930904,36.8353312,6639 Parkway Drive FRESNO CA 93722,CA1000646
-124.1636729,40.8020712,7660 MYRTLE AVE EUREKA CA 90274,CA1200698
-116.003174,32.7488953,1323 Shell Canyon Rd. Ocotillo CA 92259,CA1300611
-115.9285523,33.5128927,99620 Tripoli Dr. Mecca CA 92254,CA1310011
-115.3822628,32.6798799,1700 E. Carr Road CALEXICO CA 92231,CA1310017
-119.0814693,35.3827674,15 Wedding Ln. Bakersfield CA 93315,CA1500508
-118.7056334,35.7300559,158 WHITE RIVER ROAD GLENNVILLE CA 93226,CA1502163
-118.1544174,34.8635248,1262 ROSAMOND BLVD ROSAMOND CA 93560,CA1502247
-118.61481,35.224821,29700 WOODFORD ROAD KEENE CA 93531,CA1502664
-118.3245419,35.1712164,10032 Bloemfontein Ct TEHACHAPI CA 93561,CA1502724
-119.0315815,35.442011,4000 RIO DEL NORTE STREET BAKERSFIELD CA 93308,CA1510041
-119.7803765,36.2434949,15783 18TH AVENUE LEMOORE CA 93245,CA1600008
-119.6239539,36.3261621,9301 Lacey Blvd. Hanford CA 93230,CA1600296
-122.7252987,38.8453987,14564 Emerford Rd COBB CA 95461,CA1700501
-122.7529401,39.0417948,8508 PARADISE LAGOON DR. LUCERNE CA 95458,CA1700516
-122.7304675,38.8295456,15985 Bottle Rock Road COBB CA 95426,CA1700526
-122.735464,38.831842,15761 BOTTLE ROCK ROAD COBB CA 95426,CA1700530
-122.7212036,38.8229037,16320 High Road COBB CA 95426,CA1700542
-122.698752,38.861556,11310 FOREST OAKS DRIVE COBB CA 95453,CA1700544
-122.7521131,38.9060608,9066 Diamond Dust Trail KELSEYVILLE CA 95451,CA1700552
-122.7290559,38.8872941,9564 HWY. 175 KELSEYVILLE CA 95451,CA1700563
-122.6972017,38.81696489999999,11270 Gifford Springs Rd. Lakeport CA 95426,CA1700574
-122.6036555,38.9233347,16535 DAM ROAD CLEARLAKE CA 95422,CA1700581
-120.156427,40.1431321,100 Tamarack Street HERLONG CA 96113,CA1805009
-118.0669464,34.0870872,9227 Pitkin St. Rosemead CA 91770,CA1900009
-118.4043879,34.2926382,"12087 LOPEZ CANYON RD, KAGEL CANYON, CA 91342-6063",CA1900122
-118.8541048,34.7927235,49847 Gorman School Road GORMAN CA 93243,CA1900912
-118.004701,34.091753,5044 COGSWELL ROAD EL MONTE CA 91732,CA1910141
-119.7335325,37.1289582,26065 OUTBACK INDUSTRIAL WAY ONEALS CA 93645,CA2000203
-119.654964,37.3312208,40093 CA-41 Oakhurst CA 93644,CA2000578
-119.6392859,37.3335418,40094 Indian Springs Rd. Oakhurst CA 93644,CA2000614
-119.8489969,37.6612069,9988 CA-140 El Portal CA 95318,CA2202048
-119.5730321,37.7385474,9010 Curry Village Dr. Yosemite National Park CA 95389,CA2210518
-120.4427394,37.3121453,2916 N. MCKEE RD. MERCED CA 95340,CA2400176
-120.6865798,37.4036234,11019 W. EUCALYPTUS AVENUE LIVINGSTON CA 95334,CA2400346
-121.0157927,37.0554059,28960 Gonzaga Rd. Santa Nella CA 95322,CA2410306
-121.2115976,37.0650473,38787 Dinosaur Point Rd. Hollister CA 95023,CA2410307
-118.8117699,37.6301631,904 Benton Crossing Rd. Crowley Lake CA 93546,CA2600633
-121.6703017,36.6832937,730 W. Market St. Salinas CA 93901,CA2702624
-120.6962826,35.7524679,6303 Montana Rd. San Miguel CA 93451,CA2710706
-122.3353094,38.2557651,4048 SONOMA HIGHWAY NAPA CA 94559,CA2800538
-122.2728546,38.2890933,150 SILVERADO TRAIL NAPA CA 94558,CA2800548
-122.4167027,38.4888619,1601 Silverado Trail ST HELENA CA 94574,CA2801045
-121.0625332,39.02136489999999,12515 COMBIE RD AUBURN CA 95603,CA2900540
-121.0299736,39.3010355,17530 Lake Vera-Purdon Rd NEVADA CITY CA 95959,CA2902376
-120.131341,39.3620534,12800 Interstate 80 TRUCKEE CA 96161,CA2905004
-120.9089407,39.2639831,13118 SARGENT JACOBS DRIVE NEVADA CITY CA 95959,CA2910007
-117.596468,33.5470406,28436 Airoso St. Ladera Ranch CA 92694,CA3000852
-117.6672614,33.4543862,35005 Beach Rd. Dana Point CA 92624,CA3010055
-117.8693749,33.8682905,500 CAMERON STREET PLACENTIA CA 92870,CA3010070
-120.165335,39.1296325,740 Timberland Ln. Tahoe City CA 96145,CA3100029
-121.1667594,38.833701,8401 Boulder Creek Pl. Penryn CA 95663,CA3103257
-121.133091,38.8596134,1588 LISA DRIVE NEWCASTLE CA 95658,CA3110033
-120.9106894,39.9381114,179 Rogers Avenue QUINCY CA 95971,CA3210008
-116.243958,33.7212834,81450 Palo Verde Dr. N Indio CA 92201,CA3301046
-116.2311538,33.640992,82225 AIRPORT BLVD THERMAL CA 92274,CA3301153
-116.5017441,33.9701063,10805 PALM DRIVE DESERT HOT SPRINGS CA 92240,CA3301206
-116.1812568,33.649466,83355 AVE 55 THERMAL CA 92274,CA3301276
-116.2682423,33.611913,58075 Jefferson St. La Quinta CA 92253,CA3301566
-116.2117039,33.7308971,43-778 E. Circle Dr. Indio 92201,CA3301735
-116.2371826,33.6783701,81800 51st Ave. Indio 92201,CA3302027
-117.2051413,33.6415499,"25898 Bundy Canyon Rd, Menifee, CA",CA3302093
-116.5115588,33.8081197,1001 El Cielo Rd. Palm Springs CA 92264,CA3303012
-116.7468366,33.7337283,52500 Temecula Rd. Idyllwild-Pine Cove CA 92549,CA3303081
-116.2186488,33.7140561,81400 Ave. 52 Indio CA 92201,CA3303085
-116.1476332,33.5499085,68555 POLK ST THERMAL CA 92274,CA3303100
-117.3478625,33.7032046,28755 El Toro Rd. Lake Elsinore CA 92532,CA3310015
-121.3080902,38.5857696,10299 McCracken Dr. Rancho Cordova CA 95670,CA3400140
-121.4358194,38.514494,6125 Stockton Blvd. Sacramento CA 95824,CA3400198
-121.3731924,38.4096684,8865 ELK GROVE BLVD ELK GROVE CA 95624,CA3400249
-121.589958,38.150015,100 Oxbow Marina Dr. Isleton CA 95641,CA3400332
-121.4414507,38.521592,5800 Stockton Blvd. Sacramento CA 95827,CA3400352
-121.3648652,38.6530776,4855 Hamilton St. Sacramento CA 95841,CA3400359
-121.3355329,38.4793433,7676 BRADSHAW RD SACRAMENTO CA 95829,CA3400412
-121.3869152,38.6392338,3450 LONGVIEW DR SACRAMENTO CA 95821,CA3400468
-121.3936699,36.8687387,411 MCCLOSKEY RD HOLLISTER CA 95023,CA3500526
-117.186761,34.934567,37600 Hinkley Rd. Hinkley CA 92347,CA3600125
-116.820306,34.9029673,1 Union Pacific Rd. Yermo CA 92398,CA3600316
-116.5465857,34.0690603,51063 29 PALMS HWY MORONGO VALLEY CA 92256,CA3601055
-117.1617685,34.0127473,8353 N ALABAMA AV REDLANDS CA 92373,CA3601060
-117.5586063,34.0089767,13500 Hamner Ave. Ontario 91761,CA3601094
-116.8862588,34.2466222,41972 GARSTIN DRIVE BIG BEAR LAKE CA 92315,CA3610061
-117.6897007,33.9768891,"14901 Central Avenue, Chino, CA 91710",CA3610853
-116.9504415,32.9052952,12570 Slaughterhouse Canyon Rd. Lakeside CA 92040,CA3705026
-121.2584563,37.9509112,2189 E Taylor St. Stockton CA 95205,CA3900726
-121.2760483,37.8071297,16777 S. Howland Rd. Lathrop CA 95330,CA3900810
-121.3112428,38.1005081,13451 N EXTENSION RD LODI CA 95240,CA3901035
-121.254492,37.99175,3655 E CHEROKEE RD STOCKTON CA 95205,CA3901330
-121.239114,37.933807,2431 E Mariposa Rd Stockton CA 95205,CA3901334
-120.9103945,35.4493366,2350 N Ocean Ave Cayucos CA 93430,CA4000512
-120.6763374,35.2416337,4251 S HIGUERA SAN LUIS OBISPO CA 93401,CA4000711
-120.6455267,35.2461283,645 TANK FARM ROAD SAN LUIS OBISPO CA 93401,CA4000726
-120.6647014,35.2457806,269 TANK FARM ROAD SAN LUIS OBISPO CA 93401,CA4000728
-120.6424149,35.2546513,3601 Sacramento Dr. San Luis Obispo CA 93401,CA4000743
-120.4635844,34.9188918,"2330 A Street, Suite A SANTA MARIA CA 93455",CA4010040
-119.7987389,34.4521956,5070 Cathedral Oaks Rd. Santa Barbara CA 93111,CA4200647
-120.4003803,34.9240151,1701 Betteravia Rd. Santa Maria CA 93454,CA4200959
-122.047299,37.2907335,21401 Prospect Rd. Saratoga CA 95070,CA4300504
-122.0275944,37.0383332,441 La Cuesta Dr. Scotts Valley CA 95066,CA4400539
-122.0479872,37.1111704,11255 LOMPICO ROAD FELTON CA 95018,CA4410015
-122.4812196,40.617222,15611 Rock Creek Road SHASTA CA 96087,CA4500001
-121.3969339,41.051744,44304 A St McArthur CA 96056,CA4500084
-122.3830404,40.9062012,21375 MAIN STREET LAKEHEAD CA 96051,CA4500136
-122.1063135,38.231285,2543 CORDELIA RD FAIRFIELD CA 94534-1676,CA4810037
-122.7710645,38.4438594,433 Fulton Road SANTA ROSA CA 95401,CA4900676
-122.7149279,38.3934868,3455 Santa Rosa Avenue SANTA ROSA CA 95407,CA4900786
-122.714586,38.3908595,3521 Santa Rosa Avenue SANTA ROSA CA 95407,CA4900855
-122.740282,38.50211669999999,385 Mark West Springs Road SANTA ROSA CA 95404,CA4900890
-122.5462232,38.4140472,9580 Sonoma Highway KENWOOD CA 95452,CA4900922
-122.717189,38.4002454,3200 Moorland Avenue SANTA ROSA CA 95407,CA4901195
-122.7782561,38.523692,5901 Old Redwood Highway SANTA ROSA CA 95403,CA4901311
-122.8326455,38.4988928,4401 Slusser Road WINDSOR CA 95492,CA4901387
-122.5801281,38.24979889999999,2455 Frates Road PETALUMA CA 94972,CA4901389
-122.7686631,38.4200135,1078 S Wright Rd. Santa Rosa 95407,CA4901410
-122.7375767,38.4288469,1589 Hampton Way SANTA ROSA CA 95407,CA4901439
-122.5177776,38.3484744,15000 Arnold Drive ELDRIDGE CA 95431,CA4910202
-120.9267211,37.5677001,4812 Esmar Rd Ceres CA 95307,CA5000051
-120.9179084,37.5662226,4920 Faith Home Rd Ceres CA 95307,CA5000057
-120.9577958,37.5656874,2048 E GRAYSON ROAD CERES CA 95307,CA5000077
-120.9003871,37.5518177,5061 Nunes Rd. Turlock CA 95382,CA5000085
-120.8964072,37.5437528,4124 W BARNHART ROAD TURLOCK CA 95382,CA5000086
-120.9209094,37.5417313,6643 Faith Home Rd Ceres CA 95307,CA5000217
-121.126788,37.4750354,136 WEBER AVE PATTERSON CA 95363,CA5000271
-120.9322397,37.5880413,3461 Roeding Rd Ceres CA 95307,CA5000308
-120.9960675,37.5788452,4043 Crows Landing Rd Modesto CA 95358,CA5000484
-120.9005539,37.5460332,5837 N GOLDEN STATE BLVD TURLOCK CA 95382,CA5000570
-121.6641582,39.1403464,2620 COLUSA HIGHWAY YUBA CITY CA 95993,CA5100176
-121.6633562,39.1634025,2468 TIERRA BUENA ROAD YUBA CITY CA 95993,CA5105009
-122.1966098,39.9213609,2120 FIG LANE CORNING CA 96021,CA5200516
-122.1001844,40.0354856,8255 HIGHWAY 99 E LOS MOLINOS CA 96055,CA5200550
-122.102108,40.030265,25095 TEHAMA VINA ROAD LOS MOLINOS CA 96055,CA5201137
-122.8065196,40.701404,415 3rd Ave. Lewiston CA 96052,CA5301003
-119.406244,36.3499852,7480 AVENUE 308 VISALIA CA 93291,CA5400507
-119.3348579,36.3249974,612 S CHINOWTH ST VISALIA CA 93277,CA5400570
-119.0355615,36.0648784,59 S. INDIANA STREET PORTERVILLE CA 93257,CA5400600
-119.049243,36.1007963,1935 N. BEVERLY STREET PORTERVILLE CA 93257,CA5400651
-119.4650617,36.3515234,4856 Avenue 309 Visalia CA 93291,CA5400957
-119.3188863,36.2902286,2400 W. MID VALLEY AVE VISALIA CA 93277,CA5400966
-119.2225208,36.4858267,15641 AVE. 384 VISALIA CA 93292,CA5402039
-119.3400756,36.4947902,38845 MONSON DR DINUBA CA 93618,CA5402043
-119.1308458,36.413667,19743 AVE 344 WOODLAKE CA 93286,CA5403010
-118.964122,36.0548607,2393 E. SPRINGVILLE PORTERVILLE CA 93257,CA5403038
-118.9845654,36.059542,1465 E TYLER AVE LANE PORTERVILLE CA 93257,CA5403149
-119.0031127,36.0579409,629 E Date Ave Porterville CA 93257,CA5403202
-119.3552737,36.1672141,538 W. MATHENY TULARE CA 93274,CA5410033
-119.9972222,38.1908333,18 Pinecreat Lake Rd Pinecrest CA 95364,CA5500157
-119.0509023,34.3551837,18249 East Telegraph Road SANTA PAULA CA 93060,CA5601206
-121.9566207,38.5303849,999 E GRANT AVE WINTERS CA 95694,CA5700600
-121.785445,38.6926668,38925 Aspen St Woodland CA 95695,CA5700649
-121.7743277,38.692433,"515 KENTUCKY AVENUE, woodland, CA 95695",CA5700770
-121.2918274,39.4545474,8471 LA PORTE RD BROWNSVILLE CA 95919,CA5800807
-119.9614513,36.0076977,701 General Petroleum Ave Kettleman City CA 93239,CA1600048
-118.1917685,34.2018919,4532 Rinetti Ln La Canada Flintridge CA 91011,CA1910241
-120.5263466,37.32110249999999,2272 MEADOWBROOK AVENUEMERCED CA 95340,CA2410008
-121.4547683,38.5107582,4411 47th Ave Sacramento 95824,CA3410023
-116.8250265,34.9054315,38280 Gleason St Yermo CA 92398,CA3610118
-122.904296,38.707187,21060 GEYSERVILLE AVENUE GEYSERVILLE CA 95441,CA4910024
-119.1588027,34.2395077,600 Simon Way Oxnard CA 93036,CA5610010
-121.9526437,38.8642346,5160 County Road 99W Dunnigan CA 95937,CA5700712
-119.6567705,37.3332583,40041 CA 49 Oakhurst CA 93644,CA2010007
-119.9054503,37.2178906,32281 Front St Raymond CA 93653,CA2010012
-119.7065182,37.218923,46109 Rd 417 Coarsegold CA 93614,CA2010013
-119.7131478,37.3442312,45735 N Oakview Dr Oakhurst CA 93644,CA2010014
-120.537612,34.7180102,1172 ICELAND AVENUEVANDENBERG AFB CA 93437,CA4210700
-120.9667595,38.2714325,3151 Inyo Ct Ione CA 95640,CA0310021
-116.4559718,34.2416971,622 Jemez Trail Yucca Valley CA 92284,CA3610060
-121.8160917,38.4449449,600 EAST A ST DIXON CA 95620,CA4810009
-119.4858671,36.4539547,36514 Zante Dr Traver CA 93673,CA5400553
-122.2290823,39.75667019999999,4522 Cedar Ave Orland 95963,CA1100404
-122.2454256,40.164091,1320 Larkspur Ct Red Bluff CA 96080,CA5200574
-117.1888647,34.4938451,21760 OTTAWA RD APPLE VALLEY CA 92307,CA3600010
-119.2473439,34.44459080000001,401 S Ventura St Ojai CA 93023,CA5610014
-118.6269348,34.4958124,27971 Sloan Canyon Rd Castaic CA 91384,CA1910247
-118.5302762,34.3816163,24500 Main St Santa Clarita CA 91321,CA1910096
-118.5302762,34.3816163,24500 Main St Santa Clarita CA 91321,CA1910096
-118.4024242,34.4346714,29156 Lotusgarden Dr Santa Clarita CA 91387,CA1910250
-118.5092265,34.4131518,26521 SUMMIT CIRCLES ANTA CLARITA CA 91350,CA1910017
-118.4664481,34.4770367,29753 Bouquet Canyon Rd Santa Clarita CA 91390,CA1910255
-118.5644103,34.4347484,24631 AVENUE ROCKEFELLER VALENCIA CA 91355,CA1910240
-120.146742,38.076402,25052 Abraham Ave Mi Wuk Village CA 95346,CA5510016
-120.7487101,37.6207017,13306 4th St Hickman CA 95323,CA5010026
-121.9475204,38.2692539,690 Airmen Dr Travis AFB CA 94535,CA4810701
-120.14824,39.1666145,221 Fairway Dr Tahoe City CA 96145,CA3110043
-120.1285859,39.0677751,"6998 WESTLAKE BLVD., TAHOMA CA 96142",CA3110013
-118.5210012,34.4354444,27234 BOUQUET CANYON ROAD SANTA CLARITA CA 91350,CA1910048
-122.1085888,40.0682429,9475 Riverview Ave Los Molinos CA 96055,CA5200657
-121.4355678,40.6716461,43000 Mountain House Rd Old Station 96071,CA4500022
-118.5302762,34.3816163,24500 Main St Santa Clarita CA 91321,CA1910096
-118.5302762,34.3816163,24500 Main St Santa Clarita CA 91321,CA1910096
